episode,reward,avg_reward,cumulative_reward,lr,loss,avg_loss,epsilon,profit_dollars,num_trades,sharpe_ratio,win_rate,max_drawdown,oos_profit_dollars,oos_num_trades,oos_sharpe_ratio,oos_win_rate,oos_max_drawdown
0,-0.0215,-0.0215,0.9938,1.0000e-04,0.0002,0.0002,1,-871.93,3,-6.2671,0.6667,0.1327,-1630.51,20.0,-6.8303,0.2273,0.1910
1,0.0139,-0.0038,0.9955,1.0000e-04,0.0002,0.0002,0.85,-14.07,4,-0.1288,0.5000,0.0543,-2656.09,22.4,-9.3400,0.2404,0.2848
2,0.1059,0.0328,1.0874,1.0000e-04,0.0002,0.0002,0.7225,-158.15,3,-2.9417,0.3333,0.0297,-632.13,7.6,-17.2602,0.2362,0.0750
3,0.1981,0.0741,1.2037,1.0000e-04,0.0003,0.0002,0.6141,1936.80,4,16.1591,0.7500,0.0058,-2032.49,23.6,-6.1214,0.3106,0.2323
4,-0.0514,0.049,0.9593,1.0000e-04,0.0002,0.0002,0.522,85.30,7,1.0650,0.2857,0.0297,-2455.50,23.4,-9.9738,0.2165,0.2623
5,-0.0273,0.0363,0.9321,1.0000e-04,0.0002,0.0002,0.4437,-745.91,4,-13.1919,0.2500,0.0872,-1767.77,16.0,-6.2861,0.3507,0.2227
6,0.0364,0.0363,1.0205,1.0000e-04,0.0004,0.0002,0.3771,425.46,7,3.0028,0.4286,0.0365,-1149.94,12.4,-8.6554,0.2306,0.1290
7,0.0259,0.035,1.0167,1.0000e-04,0.0003,0.0002,0.3205,1053.10,7,5.4939,0.4286,0.0703,-1707.86,18.2,-7.9621,0.2628,0.2028
8,0.0655,0.0384,1.0138,1.0000e-04,0.0003,0.0003,0.2724,152.56,4,0.4016,0.7500,0.2208,-925.04,10.2,-3.0981,0.3389,0.1945
9,-0.1645,0.0181,0.8462,1.0000e-04,0.0002,0.0002,0.2315,-1398.09,6,-17.5749,0.0000,0.1398,-2266.89,24.8,-6.4275,0.2831,0.2726
10,-0.1195,0.0056,0.8443,9.0000e-05,0.0001,0.0002,0.1968,-1129.83,11,-14.9973,0.2727,0.1178,-1767.64,15.4,-11.1770,0.2926,0.1856
11,-0.1659,-0.0087,0.8455,9.0000e-05,0.0003,0.0002,0.1673,-997.66,4,-5.4880,0.7500,0.1498,-2212.21,22.8,-7.1139,0.3310,0.2497
12,-0.1537,-0.0199,0.8356,9.0000e-05,0.0004,0.0003,0.1422,-1669.12,6,-7.3617,0.5000,0.1899,-497.66,6.6,-12.9974,0.3000,0.0815
13,-0.1276,-0.0276,0.8891,9.0000e-05,0.0002,0.0002,0.1209,-733.58,9,-3.0036,0.3333,0.1466,-1460.78,19.4,-5.2372,0.2678,0.2155
14,-0.4447,-0.0554,0.6387,9.0000e-05,0.0002,0.0002,0.1028,-3429.64,7,-17.7958,0.1429,0.3430,-1996.77,15.8,-7.8283,0.3107,0.2441
15,-0.2475,-0.0674,0.7616,9.0000e-05,0.0004,0.0003,0.0874,-2225.97,16,-8.0755,0.2500,0.2226,-2634.93,23.8,-8.3133,0.2959,0.2819
16,-0.0498,-0.0663,0.8822,9.0000e-05,0.0001,0.0002,0.0743,-1150.02,13,-9.3500,0.1538,0.1361,-720.30,8.2,-16.7097,0.1241,0.0823
17,-0.0829,-0.0673,0.9060,9.0000e-05,0.0003,0.0002,0.0713,-658.20,6,-7.2822,0.3333,0.0658,-1834.91,15.8,-11.4340,0.3031,0.2000
18,-0.2308,-0.0759,0.8278,9.0000e-05,0.0001,0.0002,0.0684,-1627.53,11,-7.8927,0.2727,0.1774,-1301.13,5.6,-7.9485,0.3405,0.1698
19,-0.108,-0.0775,0.8990,9.0000e-05,0.0003,0.0002,0.0657,-789.36,11,-3.8035,0.4545,0.1159,-622.94,10.4,-2.4242,0.3783,0.1997
20,-0.0659,-0.0769,0.9512,8.1000e-05,0.0002,0.0002,0.0631,-1060.72,15,-4.2987,0.2667,0.1096,-899.27,14.4,-2.6636,0.3254,0.2124
21,0.0339,-0.0719,1.0179,8.1000e-05,0.0002,0.0002,0.0606,-374.65,16,-1.2851,0.4375,0.1252,-2550.07,22.2,-10.5388,0.2715,0.2656
22,-0.0165,-0.0695,0.9789,8.1000e-05,0.0001,0.0002,0.0582,64.33,24,0.1155,0.3750,0.1316,-1633.30,17.2,-8.6021,0.2405,0.1803
23,-0.2422,-0.0767,0.7747,8.1000e-05,0.0002,0.0002,0.0559,-2389.89,12,-7.7954,0.2500,0.2390,-575.07,5.8,-8.3259,0.3906,0.0705
24,-0.0057,-0.0738,0.9723,8.1000e-05,0.0004,0.0002,0.0537,-441.84,4,-21.3666,0.0000,0.0442,-2228.60,21.6,-11.3035,0.2011,0.2259
25,-0.2417,-0.0826,0.7834,8.1000e-05,0.0012,0.0003,0.0516,-1666.42,20,-8.2767,0.3000,0.1731,-1146.98,10.0,-4.8108,0.3342,0.2138
26,-0.1311,-0.0884,0.8684,8.1000e-05,0.0003,0.0003,0.0495,-1076.53,13,-4.0130,0.3077,0.1696,-1289.79,10.0,-8.2188,0.3278,0.1418
27,0.0009,-0.0926,0.9439,8.1000e-05,0.0002,0.0003,0.0475,-1027.77,6,-20.1586,0.1667,0.1041,-297.07,3.2,-9.4756,0.2000,0.0353
28,-0.1163,-0.1052,0.8946,8.1000e-05,0.0003,0.0003,0.0456,-613.23,11,-5.2753,0.4545,0.0770,-1657.66,22.2,-5.5175,0.3233,0.2251
29,-0.0815,-0.1064,0.9283,8.1000e-05,0.0002,0.0003,0.0438,-717.14,8,-3.4953,0.1250,0.1303,-247.17,2.0,-19.9706,0.1000,0.0272
30,-0.0081,-0.1057,0.9666,7.2900e-05,0.0003,0.0003,0.042,-233.26,2,-142.5686,0.0000,0.0233,-359.44,2.6,-53.5785,0.2571,0.0428
31,0.0261,-0.1061,1.0205,7.2900e-05,0.0002,0.0003,0.0403,604.87,2,30.9475,1.0000,0.0000,-647.22,4.8,-16.3810,0.1929,0.0732
32,-0.1074,-0.1114,0.8811,7.2900e-05,0.0001,0.0003,0.0387,-1048.07,6,-15.5167,0.1667,0.1048,-285.62,4.2,0.6242,0.4533,0.1254
33,-0.2004,-0.122,0.8254,7.2900e-05,0.0002,0.0003,0.0372,-1401.10,4,-10.6709,0.2500,0.1401,-1121.53,5.0,-7.3211,0.2305,0.1313
34,-0.2456,-0.1253,0.7807,7.2900e-05,0.0002,0.0003,0.0357,-1805.59,15,-11.2718,0.2000,0.1834,-1838.72,19.0,-5.0032,0.3596,0.2409
35,-0.0915,-0.1242,0.9401,7.2900e-05,0.0005,0.0003,0.0343,111.97,12,0.3913,0.5833,0.0747,-55.52,3.4,-121.7437,0.3400,0.0348
36,-0.1469,-0.1234,0.9232,7.2900e-05,0.0002,0.0003,0.0329,-764.32,5,-11.5333,0.2000,0.0764,-2354.22,22.4,-8.7367,0.2882,0.2596
37,-0.3775,-0.1323,0.7388,7.2900e-05,0.0007,0.0003,0.0316,-2104.92,21,-11.7965,0.1905,0.2105,-2947.29,26.0,-10.2742,0.3119,0.3141
38,-0.0789,-0.1304,0.9391,7.2900e-05,0.0002,0.0003,0.0303,311.62,10,1.3334,0.4000,0.0775,-1234.61,13.6,-10.2594,0.2760,0.1431
39,-0.1279,-0.1177,0.8435,7.2900e-05,0.0002,0.0003,0.0291,-549.04,6,-13.3981,0.3333,0.0549,-756.93,1.4,-38.5885,0.2000,0.0887
40,-0.0098,-0.1082,0.9738,6.5610e-05,0.0003,0.0003,0.0279,-501.20,4,-3.5326,0.5000,0.1321,-410.18,3.2,-2.3080,0.3867,0.1040
41,0.196,-0.0984,1.1723,6.5610e-05,0.0003,0.0003,0.0268,1359.50,2,18.1326,1.0000,0.0000,-815.79,1.6,-3.6066,0.1667,0.1002
42,-0.0141,-0.0956,0.9728,6.5610e-05,0.0002,0.0003,0.0257,-472.77,9,-3.8868,0.2222,0.0913,-442.47,5.0,-24.9484,0.3119,0.0606
43,0.1639,-0.0798,1.0961,6.5610e-05,0.0002,0.0003,0.0247,-200.03,2,-13.1802,0.5000,0.0220,-571.89,1.8,0.5738,0.0800,0.0716
44,-0.2325,-0.0848,0.7846,6.5610e-05,0.0001,0.0003,0.0237,-1627.29,9,-21.6028,0.0000,0.1627,-400.19,4.8,-7.2864,0.4000,0.0579
45,-0.0301,-0.0834,0.9302,6.5610e-05,0.0003,0.0003,0.0228,679.73,4,9.8912,0.7500,0.0089,-728.29,5.2,-4.7448,0.4407,0.1416
46,-0.3898,-0.1003,0.6622,6.5610e-05,0.0002,0.0003,0.0219,-2822.78,6,-9.1348,0.5000,0.2860,-661.32,3.4,-5.3326,0.2600,0.1144
47,-0.1994,-0.1077,0.8162,6.5610e-05,0.0003,0.0003,0.021,-479.44,1,0.0000,0.0000,0.0479,-334.27,2.6,-20.6973,0.1000,0.0359
48,0.0286,-0.0968,1.0349,6.5610e-05,0.0005,0.0003,0.0202,690.73,2,12.5661,0.5000,0.0084,-260.19,1.4,-7.1334,0.0000,0.0260
49,0.0683,-0.0939,1.0476,6.5610e-05,0.0002,0.0003,0.0194,310.89,3,5.1039,0.3333,0.0235,-34.37,0.4,0.0000,0.2000,0.0075
50,-0.0995,-0.0882,0.9030,5.9049e-05,0.0002,0.0003,0.0186,-993.05,1,0.0000,0.0000,0.0993,-58.95,0.6,-3.7203,0.0000,0.0059
51,-0.133,-0.0883,0.8885,5.9049e-05,0.0001,0.0003,0.0179,-798.22,8,-4.9091,0.5000,0.1089,-232.19,0.4,0.0000,0.0000,0.0232
52,-0.0865,-0.0918,0.9227,5.9049e-05,0.0003,0.0003,0.0172,-707.90,1,0.0000,0.0000,0.0708,-101.20,0.8,0.0000,0.0000,0.0101
53,-0.0338,-0.0885,0.9535,5.9049e-05,0.0002,0.0003,0.0165,-814.03,8,-10.7784,0.2500,0.0973,-1143.03,9.8,-4.3705,0.4282,0.1823
54,0.0676,-0.0825,1.0520,5.9049e-05,0.0002,0.0003,0.0158,1045.67,6,5.2322,0.5000,0.0514,-2569.45,23.2,-12.1729,0.1654,0.2778
55,-0.0179,-0.0829,0.9550,5.9049e-05,0.0002,0.0003,0.0152,-752.67,4,-31.4755,0.0000,0.0753,-101.23,0.8,-3.9306,0.2000,0.0109
56,-0.1335,-0.0893,0.9111,5.9049e-05,0.0002,0.0003,0.0146,-844.45,6,-11.0008,0.1667,0.0986,-832.33,9.2,-9.1101,0.2826,0.0994
57,0.0303,-0.0838,0.9978,5.9049e-05,0.0002,0.0003,0.014,0.00,0,0.0000,0.0000,0.0000,-339.19,1.0,-2.9990,0.1000,0.0476
58,-0.2238,-0.0847,0.7962,5.9049e-05,0.0002,0.0003,0.0134,-1992.01,1,0.0000,0.0000,0.1992,65.37,0.4,0.0000,0.2000,0.0131
59,0.0993,-0.0709,1.0863,5.9049e-05,0.0003,0.0003,0.0129,328.88,4,5.0568,0.5000,0.0326,-585.30,0.8,0.0000,0.0000,0.0585
60,-0.0493,-0.0692,0.9993,5.3144e-05,0.0004,0.0003,0.0124,-327.23,1,0.0000,0.0000,0.0327,-565.12,0.8,-2.7854,0.1000,0.0585
61,0.1491,-0.0574,1.1574,5.3144e-05,0.0001,0.0003,0.0119,1855.77,2,11.0441,0.5000,0.0406,-283.62,1.4,0.4618,0.1000,0.0398
62,0.1086,-0.0379,1.0594,5.3144e-05,0.0002,0.0002,0.0114,814.75,2,13.4342,0.5000,0.0068,-49.30,0.6,-7.0228,0.0000,0.0049
