episode,train_profit,oos_profit_fixed,oos_profit_median,oos_profit_mean,oos_win_rate,oos_consistency,train_trades,oos_trades,train_win_rate,train_sharpe,oos_sharpe,loss,epsilon
0,505.01,0.00,0.00,0.00,0.000,0.000,20,0.0,0.500,1.018,0.000,0.000000,1.000
1,-1303.46,0.00,0.00,0.00,0.000,0.000,21,0.0,0.381,-2.094,0.000,0.000000,1.000
2,-2632.16,0.00,0.00,0.00,0.000,0.000,13,0.0,0.385,-9.303,0.000,0.000000,1.000
3,2012.82,0.00,0.00,0.00,0.000,0.000,19,0.0,0.684,4.290,0.000,0.000000,1.000
4,467.77,0.00,0.00,0.00,0.000,0.000,16,1.0,0.500,2.015,0.000,0.058382,0.950
5,-1388.73,1730.23,1568.66,1546.21,0.950,1.000,17,3.4,0.529,-2.255,36.319,0.054227,0.485
6,-1853.25,1538.67,1538.67,1538.46,0.950,1.000,16,3.2,0.312,-6.316,40.677,0.013286,0.481
7,679.05,1508.74,1508.74,1508.74,0.667,1.000,15,3.0,0.533,3.715,8.776,0.005907,0.477
8,-1013.30,1123.10,2107.76,1910.82,0.667,1.000,18,6.0,0.333,-5.331,7.572,0.004573,0.481
9,-192.59,-460.39,356.58,193.18,0.500,0.800,23,4.0,0.348,-0.914,1.808,0.003747,0.477
10,5757.44,855.81,1768.76,1586.17,0.600,1.000,14,5.0,0.714,12.380,6.782,0.003476,0.472
11,167.86,922.86,922.86,922.86,0.333,1.000,21,3.0,0.524,0.545,5.250,0.003008,0.490
12,-1954.33,837.10,837.10,837.10,0.600,1.000,14,5.0,0.357,-6.486,4.453,0.003014,0.485
13,456.03,-1362.33,2275.13,1021.93,0.733,0.600,15,5.2,0.467,1.061,4.667,0.002612,0.484
14,-966.79,376.12,1430.93,1219.97,0.580,1.000,21,5.2,0.429,-3.191,4.975,0.002523,0.479
15,1092.29,850.95,850.95,850.95,1.000,1.000,14,2.0,0.429,4.709,34.111,0.002267,0.475
16,-860.06,493.85,1401.11,1219.65,0.400,1.000,19,5.0,0.579,-1.517,5.128,0.002093,0.471
