episode,train_profit,oos_profit_fixed,oos_profit_median,oos_profit_mean,oos_win_rate,oos_consistency,train_trades,oos_trades,train_win_rate,train_sharpe,oos_sharpe,loss,epsilon
4,239.82,0.00,0.00,175.77,0.455,0.455,13,0.7,0.538,3.723,14.670,0.000000,0.495
0,-1407.27,1356.07,0.00,0.44,0.273,0.182,6,0.7,0.333,-12.633,-1.775,0.000000,0.500
5,-451.97,0.00,0.00,80.46,0.364,0.455,9,0.7,0.222,-10.758,0.563,0.064758,0.490
1,564.97,1356.07,0.00,0.44,0.273,0.182,2,0.7,1.000,41.787,-1.775,0.000000,0.500
6,-463.52,0.00,0.00,80.46,0.364,0.455,6,0.7,0.667,-2.785,0.563,0.000000,0.490
2,-854.59,1356.07,0.00,0.44,0.273,0.182,4,0.7,0.250,-15.862,-1.775,0.000000,0.500
7,-790.77,0.00,0.00,474.70,0.258,0.455,15,1.2,0.267,-7.062,7.210,0.066543,0.485
3,42.23,1356.07,0.00,171.47,0.364,0.364,4,0.5,0.500,0.519,0.000,0.079171,0.495
8,-1413.50,0.00,0.00,474.70,0.258,0.455,10,1.2,0.300,-11.447,7.210,0.054256,0.480
4,540.97,1356.07,0.00,171.47,0.364,0.364,4,0.5,0.750,12.633,0.000,0.000000,0.495
9,49.10,0.00,0.00,474.70,0.258,0.455,9,1.2,0.667,0.269,7.210,0.000000,0.480
5,439.39,1356.07,0.00,171.47,0.364,0.364,8,0.5,0.625,5.003,0.000,0.085449,0.490
10,182.60,0.00,55.00,520.21,0.545,0.545,11,1.2,0.455,1.307,8.236,0.035054,0.475
6,-67.09,1356.07,0.00,171.47,0.364,0.364,6,0.5,0.333,-1.177,0.000,0.000000,0.490
11,-1387.61,0.00,55.00,520.21,0.545,0.545,6,1.2,0.167,-15.189,8.236,0.000000,0.475
7,-30.83,1356.07,0.00,167.13,0.364,0.364,8,0.5,0.625,-0.185,0.000,0.082041,0.485
12,368.97,0.00,0.00,512.48,0.455,0.455,10,0.7,0.700,6.374,5.538,0.019039,0.471
8,158.25,1356.07,0.00,228.30,0.455,0.455,3,0.5,0.667,5.648,0.000,0.045970,0.480
13,316.44,159.93,159.93,594.41,0.727,0.727,4,1.4,0.500,10.010,10.049,0.025482,0.466
9,816.52,1356.07,0.00,228.30,0.455,0.455,7,0.5,0.429,6.156,0.000,0.000000,0.480
14,-697.05,159.93,159.93,594.41,0.727,0.727,12,1.4,0.167,-12.101,10.049,0.000000,0.466
10,-44.56,1790.85,0.00,267.83,0.455,0.455,13,0.5,0.462,-0.376,0.000,0.043525,0.475
15,547.68,32.01,32.01,458.26,0.545,0.545,6,2.0,0.500,5.437,8.300,0.020505,0.461
11,-412.18,1790.85,0.00,267.83,0.455,0.455,7,0.5,0.286,-3.972,0.000,0.000000,0.475
16,49.81,32.01,32.01,458.26,0.545,0.545,5,2.0,0.600,0.562,8.300,0.000000,0.461
12,992.59,1896.45,0.00,339.12,0.273,0.455,8,0.8,0.750,11.932,3.772,0.030373,0.471
17,562.69,-1103.19,-91.69,157.09,0.470,0.455,4,2.7,0.500,9.129,1.130,0.019745,0.457
13,-269.39,1896.45,0.00,339.12,0.273,0.455,3,0.8,0.000,-33.962,3.772,0.021358,0.466
18,54.14,-1118.72,58.22,229.42,0.409,0.545,4,3.3,0.750,0.531,-414.116,0.013206,0.452
14,760.01,1896.45,0.00,339.12,0.273,0.455,8,0.8,0.750,8.185,3.772,0.000000,0.466
19,1410.90,-1118.72,58.22,229.42,0.409,0.545,7,3.3,0.714,8.391,-414.116,0.000000,0.452
15,339.28,2074.05,0.00,-267.41,0.227,0.091,8,0.8,0.625,2.273,-1.742,0.020696,0.461
20,-1004.55,-738.37,43.67,391.52,0.539,0.545,8,3.4,0.125,-13.003,4.367,0.015598,0.448
16,98.87,2074.05,0.00,-267.41,0.227,0.091,7,0.8,0.571,1.399,-1.742,0.000000,0.461
21,339.68,-738.37,43.67,391.52,0.539,0.545,8,3.4,0.750,2.066,4.367,0.000000,0.448
17,-2.06,2074.05,0.00,-150.32,0.227,0.091,7,0.7,0.571,-0.024,-1.742,0.012852,0.457
22,-685.43,-738.37,32.55,338.26,0.402,0.636,3,2.8,0.667,-8.008,0.949,0.011119,0.443
18,692.72,2074.05,0.00,-150.32,0.227,0.091,10,0.7,0.600,4.639,-1.742,0.013157,0.452
23,-401.80,-738.37,-93.76,265.71,0.235,0.455,9,2.8,0.444,-4.890,-9.301,0.012692,0.439
19,496.40,2074.05,0.00,-150.32,0.227,0.091,10,0.7,0.500,3.698,-1.742,0.000000,0.452
24,-664.15,-738.37,-93.76,265.71,0.235,0.455,6,2.8,0.667,-4.190,-9.301,0.000000,0.439
20,-1051.49,2074.05,0.00,-150.32,0.227,0.091,8,0.7,0.250,-13.583,-1.742,0.011061,0.448
25,-473.72,-1116.77,-93.76,197.33,0.326,0.455,9,2.9,0.444,-3.474,-4.664,0.011398,0.434
21,-640.86,2074.05,0.00,-150.32,0.227,0.091,9,0.7,0.222,-11.489,-1.742,0.000000,0.448
26,-1353.07,-1116.77,-93.76,197.33,0.326,0.455,3,2.9,0.000,-34.439,-4.664,0.000000,0.434
22,249.33,2074.05,0.00,-150.32,0.227,0.091,3,0.7,0.667,9.000,-1.742,0.009270,0.443
27,-865.60,-1116.77,-144.43,107.15,0.326,0.455,3,2.9,0.333,-13.554,-4.399,0.010486,0.430
23,-467.72,1836.97,0.00,-171.87,0.227,0.091,11,0.7,0.273,-3.110,-1.742,0.012415,0.439
28,-411.69,-1116.77,-144.43,153.53,0.326,0.455,4,3.2,0.500,-7.806,-5.044,0.008362,0.426
24,634.44,1836.97,0.00,-171.87,0.227,0.091,3,0.7,0.667,4.614,-1.742,0.000000,0.439
29,-481.22,-1116.77,-144.43,153.53,0.326,0.455,7,3.2,0.143,-12.400,-5.044,0.000000,0.426
25,-1919.87,0.00,0.00,-365.30,0.000,0.000,6,0.5,0.000,-15.577,0.000,0.010774,0.434
30,-760.72,-1116.77,-144.43,10.05,0.136,0.455,6,3.3,0.333,-5.208,-7.555,0.010694,0.421
26,1030.41,0.00,0.00,-365.30,0.000,0.000,11,0.5,0.818,10.314,0.000,0.000000,0.434
31,2321.19,-1116.77,-144.43,10.05,0.136,0.455,7,3.3,0.714,9.359,-7.555,0.000000,0.421
27,49.17,0.00,0.00,-365.30,0.000,0.000,11,0.5,0.636,0.820,0.000,0.006693,0.430
32,-318.48,-738.37,-144.43,178.66,0.195,0.455,5,3.6,0.400,-2.514,-8.370,0.008425,0.417
28,674.91,0.00,0.00,-365.30,0.000,0.000,3,0.5,0.667,7.009,0.000,0.006517,0.426
33,-772.68,-738.37,139.65,307.39,0.509,0.818,4,3.7,0.250,-14.090,4.108,0.009773,0.413
29,-888.11,0.00,0.00,-365.30,0.000,0.000,5,0.5,0.400,-3.731,0.000,0.000000,0.426
34,1009.50,-738.37,139.65,307.39,0.509,0.818,6,3.7,0.667,5.988,4.108,0.000000,0.413
30,-58.73,0.00,0.00,-365.30,0.000,0.000,8,0.5,0.625,-0.542,0.000,0.008652,0.421
35,663.55,-738.37,-121.05,113.80,0.265,0.455,2,3.8,0.500,10.272,-2.456,0.008985,0.491
31,40.70,0.00,0.00,-365.30,0.000,0.000,11,0.5,0.545,0.754,0.000,0.000000,0.421
36,1214.48,-738.37,-121.05,113.80,0.265,0.455,5,3.8,0.800,10.453,-2.456,0.000000,0.491
32,-703.74,-62.09,0.00,-422.44,0.000,0.000,9,0.5,0.444,-4.688,0.000,0.007690,0.417
37,1050.37,-651.64,26.52,256.11,0.288,0.545,12,3.3,0.750,6.992,-0.536,0.008772,0.486
33,-426.68,387.92,0.00,-374.42,0.091,0.091,10,0.5,0.300,-5.815,4.759,0.008777,0.413
38,-509.26,-75.81,26.52,360.81,0.288,0.545,7,3.1,0.143,-20.696,3.226,0.005810,0.481
34,1194.80,387.92,0.00,-374.42,0.091,0.091,7,0.5,0.714,8.654,4.759,0.000000,0.413
39,700.97,-75.81,26.52,360.81,0.288,0.545,7,3.1,1.000,18.467,3.226,0.000000,0.481
35,301.73,387.92,0.00,-374.42,0.091,0.091,9,0.5,0.444,4.398,4.759,0.008508,0.409
40,-475.57,-75.81,-27.54,319.71,0.152,0.455,6,3.1,0.167,-6.501,-2.399,0.009549,0.476
36,-2191.63,387.92,0.00,-374.42,0.091,0.091,6,0.5,0.333,-13.081,4.759,0.000000,0.409
41,-51.73,-75.81,-27.54,319.71,0.152,0.455,6,3.1,0.500,-1.156,-2.399,0.000000,0.476
37,-647.16,387.92,0.00,-398.00,0.091,0.091,10,0.5,0.300,-14.881,4.759,0.007587,0.486
42,296.01,-75.81,-27.54,319.71,0.152,0.455,4,3.1,1.000,21.921,-2.399,0.005064,0.471
38,-850.33,387.92,0.00,-398.00,0.091,0.091,9,0.5,0.222,-11.777,4.759,0.009725,0.481
