episode,reward,avg_reward,cumulative_reward,lr,loss,avg_loss,epsilon,profit_dollars,num_trades,sharpe_ratio,win_rate,max_drawdown,oos_profit_dollars,oos_num_trades,oos_sharpe_ratio,oos_win_rate,oos_max_drawdown
0,0.0286,0.0286,1.0300,5.0000e-04,0.0002,0.0002,1,-47.11,2,-1.9782,0.5000,0.0213,255.02,1.4,27.3208,0.5333,0.0210
1,0.1149,0.0718,1.1050,5.0000e-04,0.0002,0.0002,0.995,1119.63,3,6.8399,0.6667,0.0560,-113.20,1.6,-4.5657,0.4000,0.0534
2,-0.0355,0.036,0.9670,5.0000e-04,0.0001,0.0002,0.99,-181.88,1,0.0000,0.0000,0.0182,-22.56,1.6,14.7402,0.5667,0.0238
3,-0.0755,0.0081,0.9157,5.0000e-04,0.0001,0.0001,0.985,-736.65,1,0.0000,0.0000,0.0737,-500.11,1.4,-199.3699,0.0000,0.0500
4,-0.0861,-0.0107,0.9319,5.0000e-04,0.0001,0.0001,0.9801,-601.02,2,-12.7711,0.5000,0.0669,-137.69,1.4,-14.7829,0.2000,0.0336
5,0.0408,-0.0021,1.0041,5.0000e-04,0.0000,0.0001,0.9752,-287.46,2,-73.2125,0.0000,0.0287,-321.16,1.2,-7.3498,0.1000,0.0331
6,0.043,0.0043,1.0416,5.0000e-04,0.0001,0.0001,0.9703,0.00,0,0.0000,0.0000,0.0000,30.77,1.6,-7.7065,0.3667,0.0198
7,0.0852,0.0144,1.0759,5.0000e-04,0.0001,0.0001,0.9654,-36.10,1,0.0000,0.0000,0.0036,-259.66,2.6,-4.0763,0.3833,0.0484
8,0.0946,0.0233,1.0952,5.0000e-04,0.0001,0.0001,0.9606,401.40,2,4.4021,0.5000,0.0523,-565.04,2.2,-7.3984,0.3667,0.0805
9,-0.1975,0.0013,0.8196,5.0000e-04,0.0001,0.0001,0.9558,-1681.50,1,0.0000,0.0000,0.1681,-819.15,1.4,-29.1577,0.1000,0.0839
10,-0.1196,-0.0097,0.9350,5.0000e-04,0.0001,0.0001,0.951,-651.35,2,-34.9013,0.0000,0.0651,161.71,0.6,0.0000,0.4000,0.0018
11,-0.0218,-0.0107,0.9536,5.0000e-04,0.0003,0.0001,0.9462,92.32,2,4.4877,0.5000,0.0115,631.72,1.4,534.4037,0.7333,0.0063
12,0.0663,-0.0048,1.0768,5.0000e-04,0.0000,0.0001,0.9415,304.31,1,0.0000,1.0000,0.0000,384.02,1.6,-0.1426,0.8333,0.0258
13,0.0376,-0.0018,1.0228,5.0000e-04,0.0002,0.0001,0.9368,410.26,3,24.4890,1.0000,0.0000,-666.71,1.2,-6.9415,0.2000,0.0718
14,-0.0511,-0.0051,0.9717,5.0000e-04,0.0000,0.0001,0.9321,105.72,3,0.4923,0.3333,0.1156,349.80,1.8,6.4361,0.4333,0.0226
15,-0.0392,-0.0072,0.9762,5.0000e-04,0.0001,0.0001,0.9274,-376.22,1,0.0000,0.0000,0.0376,-16.49,1.4,2.5867,0.3000,0.0377
16,-0.0433,-0.0093,0.9512,5.0000e-04,0.0001,0.0001,0.9228,-491.91,1,0.0000,0.0000,0.0492,-493.31,1.4,-14.3785,0.1000,0.0513
17,0.0714,-0.0048,1.1012,5.0000e-04,0.0000,0.0001,0.8859,1234.58,2,21.5542,1.0000,0.0000,-171.08,1.8,-7.6498,0.4667,0.0377
18,0.107,0.001,1.1148,5.0000e-04,0.0001,0.0001,0.8505,159.83,1,0.0000,1.0000,0.0000,-208.37,1.6,-19.2793,0.4000,0.0334
19,0.0851,0.0052,1.1061,5.0000e-04,0.0001,0.0001,0.8165,393.75,3,6.2969,0.6667,0.0193,-582.67,1.6,-8.3661,0.2667,0.0648
20,0.0362,0.0067,1.0247,4.7500e-04,0.0001,0.0001,0.7838,308.05,4,6.3291,0.7500,0.0164,-1008.91,1.6,-29.8090,0.0000,0.1009
21,-0.0115,0.0059,0.9762,4.7500e-04,0.0001,0.0001,0.7524,0.00,0,0.0000,0.0000,0.0000,-838.48,1.6,-2.7350,0.1000,0.0922
22,-0.0311,0.0043,0.9743,4.7500e-04,0.0001,0.0001,0.7223,-544.97,4,-7.3060,0.5000,0.0689,238.75,1.2,6.9292,0.6000,0.0119
23,-0.0043,0.0039,1.0108,4.7500e-04,0.0001,0.0001,0.6934,342.34,3,3.9526,0.6667,0.0422,91.71,1.6,2.2620,0.5000,0.0210
24,-0.0223,0.0029,0.9622,4.7500e-04,0.0001,0.0001,0.6657,548.13,2,50.9225,1.0000,0.0000,-55.39,0.8,1.6495,0.1000,0.0167
25,-0.0987,-0.0022,0.8893,4.7500e-04,0.0001,0.0001,0.6391,-184.59,2,-12.3280,0.5000,0.0211,403.57,2.2,0.2194,0.5333,0.0214
26,-0.1532,-0.0129,0.8812,4.7500e-04,0.0001,0.0001,0.6135,-659.49,2,-60.1865,0.0000,0.0659,-97.41,0.6,0.0000,0.0000,0.0097
27,-0.049,-0.0135,0.9551,4.7500e-04,0.0001,0.0001,0.589,-263.65,3,-6.7586,0.3333,0.0408,-159.18,1.0,-7.7033,0.2000,0.0224
28,-0.0819,-0.0137,0.9169,4.7500e-04,0.0000,0.0001,0.5654,-813.19,2,-13.2071,0.5000,0.0888,294.60,2.0,-12.9914,0.5667,0.0251
29,-0.0415,-0.012,0.9504,4.7500e-04,0.0000,0.0001,0.5428,-81.23,4,-1.3707,0.2500,0.0415,-544.15,2.2,-10.1784,0.6000,0.0687
30,-0.0364,-0.015,0.9810,4.7500e-04,0.0001,0.0001,0.5211,-387.76,3,-18.0904,0.0000,0.0388,-810.83,1.4,-6.7737,0.0667,0.0817
31,-0.0381,-0.0183,0.9624,4.7500e-04,0.0001,0.0001,0.5003,-243.21,2,-25.4373,0.0000,0.0243,-101.54,0.8,-1.7042,0.2667,0.0132
32,0.0284,-0.0206,1.0394,4.7500e-04,0.0000,0.0001,0.4803,477.20,1,0.0000,1.0000,0.0000,372.31,1.0,0.0000,0.8000,0.0012
33,-0.0555,-0.0266,0.9399,4.7500e-04,0.0001,0.0001,0.4611,-295.47,3,-3.9731,0.6667,0.0638,-506.67,1.6,-13.8445,0.0667,0.0599
34,0.0416,-0.017,1.0278,4.7500e-04,0.0000,0.0001,0.4427,861.50,1,0.0000,1.0000,0.0000,-61.45,1.8,34.5872,0.3333,0.0323
35,-0.0061,-0.0125,0.9637,4.7500e-04,0.0001,0.0001,0.425,-805.38,3,-21.3530,0.0000,0.0805,-126.65,2.0,-170.4503,0.3667,0.0334
36,-0.07,-0.0144,0.9432,4.7500e-04,0.0001,0.0001,0.408,-233.84,3,-4.7808,0.3333,0.0261,-313.00,1.0,-1.2954,0.1000,0.0333
37,-0.0866,-0.0205,0.9303,4.7500e-04,0.0000,0.0001,0.3917,108.86,2,8.5930,0.5000,0.0045,-198.33,1.0,-3.6531,0.0000,0.0198
38,0.0583,-0.0197,1.0747,4.7500e-04,0.0000,0.0001,0.376,1045.97,3,15.4842,0.6667,0.0018,-721.03,2.4,-16.1419,0.1667,0.0734
39,0.0336,-0.0163,1.0434,4.7500e-04,0.0001,0.0001,0.361,836.08,1,0.0000,1.0000,0.0000,-415.29,0.8,-3.6244,0.2000,0.0426
40,-0.0439,-0.0165,0.9653,4.5125e-04,0.0000,0.0001,0.3466,-489.69,2,-314.8612,0.0000,0.0490,43.84,2.4,-8.7878,0.5667,0.0702
41,0.0138,-0.0142,1.0233,4.5125e-04,0.0001,0.0001,0.3327,282.93,3,5.2100,0.3333,0.0194,246.70,1.6,-0.0423,0.5000,0.0530
42,-0.0419,-0.0187,0.9444,4.5125e-04,0.0000,0.0001,0.3194,-552.67,3,-16.7311,0.3333,0.0558,-965.81,1.0,-4.5073,0.0000,0.0966
43,0.1294,-0.0178,1.1381,4.5125e-04,0.0001,0.0001,0.3066,1551.98,2,77.4783,1.0000,0.0000,-180.46,2.0,-3.7904,0.3000,0.0381
44,-0.0374,-0.0227,0.9683,4.5125e-04,0.0002,0.0001,0.2943,-176.93,2,-11.4421,0.5000,0.0210,311.23,1.4,-46.3646,0.3000,0.0313
45,0.0882,-0.0206,1.0556,4.5125e-04,0.0001,0.0001,0.2825,23.65,3,0.6493,0.6667,0.0240,88.98,1.4,2.2992,0.4667,0.0354
46,-0.0723,-0.0231,0.9395,4.5125e-04,0.0001,0.0001,0.2712,-272.23,1,0.0000,0.0000,0.0272,-97.04,1.6,-7.1291,0.1667,0.0301
47,0.0214,-0.021,0.9874,4.5125e-04,0.0000,0.0001,0.2604,-538.17,1,0.0000,0.0000,0.0538,-408.74,1.4,-9.4017,0.3000,0.0656
48,0.0536,-0.0187,1.0538,4.5125e-04,0.0001,0.0001,0.25,411.81,3,8.1612,0.3333,0.0097,-230.16,1.0,-8.4893,0.3000,0.0320
49,-0.118,-0.0225,0.9106,4.5125e-04,0.0000,0.0001,0.24,-983.16,2,-16.7128,0.0000,0.0983,-728.36,1.0,-3.4096,0.0667,0.0728
50,-0.0549,-0.0207,0.9593,4.5125e-04,0.0000,0.0001,0.2304,-120.08,2,-4.1486,0.5000,0.0290,-576.37,2.0,0.6964,0.4667,0.0797
51,-0.1112,-0.0191,0.9088,4.5125e-04,0.0001,0.0001,0.2212,-595.89,3,-6.1691,0.3333,0.1118,-138.42,1.8,-13.7962,0.3667,0.0288
52,-0.0477,-0.019,0.9567,4.5125e-04,0.0000,0.0001,0.2124,-389.21,2,-9.2683,0.5000,0.0521,-32.24,1.2,-4.8231,0.3333,0.0293
53,-0.0526,-0.0178,0.9262,4.5125e-04,0.0000,0.0001,0.2039,-796.44,2,-10.4425,0.5000,0.1004,-726.78,2.2,-20.7137,0.1333,0.0852
54,-0.0954,-0.02,0.9066,4.5125e-04,0.0000,0.0001,0.1957,-691.76,3,-36.4439,0.0000,0.0692,-422.67,2.2,-33.4833,0.2667,0.0519
55,0.0768,-0.0155,1.0555,4.5125e-04,0.0001,0.0001,0.1879,-113.79,1,0.0000,0.0000,0.0114,617.38,1.8,-3.7440,0.5667,0.0193
56,0.1111,-0.0095,1.1007,4.5125e-04,0.0001,0.0001,0.1804,1872.57,3,19.6495,0.6667,0.0029,-53.59,1.0,-0.9247,0.4667,0.0184
57,-0.0205,-0.0114,0.9834,4.5125e-04,0.0000,0.0001,0.1732,36.76,3,1.1908,0.6667,0.0207,5.98,1.6,-0.2947,0.5667,0.0249
58,0.0583,-0.0069,1.0146,4.5125e-04,0.0001,0.0001,0.1663,213.34,1,0.0000,1.0000,0.0000,-550.82,2.0,-1722.5388,0.4667,0.0819
59,0.1512,-0.0025,1.1732,4.5125e-04,0.0006,0.0001,0.1596,1516.00,1,0.0000,1.0000,0.0000,193.63,1.6,2.5818,0.4000,0.0273
60,0.0882,0.0013,1.0608,4.2869e-04,0.0001,0.0001,0.1532,578.87,1,0.0000,1.0000,0.0000,-247.63,1.0,-18.6055,0.2000,0.0324
61,-0.0134,0.0035,0.9560,4.2869e-04,0.0000,0.0001,0.1471,-1159.20,4,-5.9535,0.5000,0.1782,118.12,1.6,-6.5536,0.4333,0.0224
62,0.0769,0.0101,1.0597,4.2869e-04,0.0000,0.0001,0.1412,-75.56,2,-13.4273,0.5000,0.0082,352.93,1.4,-5.9118,0.6000,0.0225
63,0.0453,0.0095,1.0256,4.2869e-04,0.0002,0.0001,0.1356,-41.08,2,-0.8795,0.5000,0.0391,76.72,1.2,8.8532,0.3000,0.0307
64,-0.1396,0.0026,0.8720,4.2869e-04,0.0001,0.0001,0.1302,661.07,2,21.0064,1.0000,0.0000,-429.31,2.0,-18.3908,0.3000,0.0570
65,-0.0714,0.0015,0.9285,4.2869e-04,0.0001,0.0001,0.125,-179.31,2,-9.4729,0.5000,0.0240,-326.24,1.6,-23.4806,0.1000,0.0398
66,-0.1571,-0.0053,0.8481,4.2869e-04,0.0001,0.0001,0.12,-1519.73,1,0.0000,0.0000,0.1520,-313.09,1.2,-2.4501,0.5000,0.0501
67,0.0681,-0.0009,1.0820,4.2869e-04,0.0001,0.0001,0.1152,1810.01,2,2128.7033,1.0000,0.0000,-22.73,2.0,3.2547,0.4000,0.0397
68,0.077,-0.003,1.0671,4.2869e-04,0.0001,0.0001,0.1106,18.95,3,1.1852,0.6667,0.0102,-100.83,1.4,-106.2906,0.2000,0.0239
69,-0.1577,-0.0078,0.8521,4.2869e-04,0.0001,0.0001,0.1062,-1202.62,3,-107.2201,0.0000,0.1203,-938.14,2.0,-10.2702,0.3333,0.1065
70,-0.034,-0.0127,0.9562,4.2869e-04,0.0000,0.0001,0.102,-600.11,2,-43.0556,0.0000,0.0600,482.50,2.0,4.4273,0.7667,0.0114
71,0.0589,-0.0075,1.0760,4.2869e-04,0.0001,0.0001,0.1,752.37,1,0.0000,1.0000,0.0000,-193.24,1.2,-5.8595,0.0667,0.0261
72,0.0038,-0.0082,1.0000,4.2869e-04,0.0001,0.0001,0.1,0.00,0,0.0000,0.0000,0.0000,213.15,2.0,9.2842,0.5500,0.0150
73,-0.0249,-0.0113,0.9819,4.2869e-04,0.0001,0.0001,0.1,-144.69,1,0.0000,0.0000,0.0145,-258.34,1.4,0.9791,0.1333,0.0367
74,-0.0319,-0.0079,0.9511,4.2869e-04,0.0001,0.0001,0.1,-518.50,2,-19.0276,0.0000,0.0519,-213.39,2.2,-25.4191,0.3500,0.0486
75,-0.0134,-0.0062,0.9990,4.2869e-04,0.0001,0.0001,0.1,-61.82,3,-2.5736,0.3333,0.0221,-292.76,1.4,-0.8644,0.1000,0.0536
76,-0.025,-0.0028,0.9712,4.2869e-04,0.0001,0.0001,0.1,-99.99,2,-3.0748,0.5000,0.0302,176.63,1.2,15.6880,0.7000,0.0047
77,0.1054,0.0034,1.0995,4.2869e-04,0.0000,0.0001,0.1,1204.58,3,77.2709,1.0000,0.0000,111.34,1.0,3.8470,0.6000,0.0038
78,-0.0081,0.0051,1.0014,4.2869e-04,0.0001,0.0001,0.1,-259.04,2,-9.0143,0.5000,0.0358,316.31,1.4,17.4336,0.6000,0.0094
79,-0.0518,0.0069,1.0056,4.2869e-04,0.0002,0.0001,0.1,199.24,1,0.0000,1.0000,0.0000,202.33,1.6,6.5851,0.7000,0.0055
80,-0.0637,0.0013,0.9394,4.0725e-04,0.0001,0.0001,0.1,624.56,1,0.0000,1.0000,0.0000,268.13,1.2,-0.2041,0.4000,0.0210
81,-0.0713,-0.006,0.9361,4.0725e-04,0.0000,0.0001,0.1,-562.81,1,0.0000,0.0000,0.0563,-152.70,0.8,0.0000,0.2000,0.0192
82,0.1085,-0.0009,1.1038,4.0725e-04,0.0001,0.0001,0.1,409.33,2,264.7140,1.0000,0.0000,-539.06,1.6,-10.8110,0.1000,0.0540
83,0.0772,-0.0001,1.0668,4.0725e-04,0.0001,0.0001,0.1,-57.02,1,0.0000,0.0000,0.0057,-505.41,1.0,-6.1190,0.2000,0.0519
84,-0.2041,-0.0143,0.8091,4.0725e-04,0.0000,0.0001,0.1,-2024.76,2,-35.5178,0.0000,0.2025,211.52,1.2,5.7953,0.2000,0.0074
85,-0.096,-0.0217,0.9114,4.0725e-04,0.0000,0.0001,0.1,-742.38,2,-21.5812,0.0000,0.0742,52.35,1.6,0.2884,0.6333,0.0245
86,-0.0199,-0.022,0.9948,4.0725e-04,0.0001,0.0001,0.1,248.68,1,0.0000,1.0000,0.0000,-21.83,2.2,-2.0231,0.6000,0.0184
87,-0.0516,-0.0271,0.9818,4.0725e-04,0.0000,0.0001,0.1,-57.97,1,0.0000,0.0000,0.0058,-205.63,1.0,-2.7481,0.0000,0.0206
88,0.1089,-0.0245,1.1132,4.0725e-04,0.0002,0.0001,0.1,278.44,1,0.0000,1.0000,0.0000,-390.39,2.4,-4.9694,0.2833,0.0757
89,-0.0018,-0.019,0.9871,4.0725e-04,0.0001,0.0001,0.1,-302.05,2,-16.6750,0.0000,0.0302,-112.69,1.6,-0.0258,0.4000,0.0198
90,0.0955,-0.0124,1.0948,4.0725e-04,0.0001,0.0001,0.1,949.46,1,0.0000,1.0000,0.0000,348.84,1.0,-0.0418,0.7000,0.0045
91,-0.0482,-0.008,0.9471,4.0725e-04,0.0001,0.0001,0.1,-170.74,2,-3.3046,0.5000,0.0480,-630.80,1.4,-0.8003,0.2667,0.0800
92,0.0971,-0.0068,1.0910,4.0725e-04,0.0001,0.0001,0.1,766.88,3,13.6050,0.6667,0.0064,-444.04,0.6,0.0000,0.0000,0.0444
93,0.0059,-0.0097,1.0155,4.0725e-04,0.0001,0.0001,0.1,219.43,2,4.1540,0.5000,0.0310,-282.75,1.2,-2.5254,0.2000,0.0348
94,-0.0409,-0.005,0.9531,4.0725e-04,0.0000,0.0001,0.1,-517.55,3,-33.3567,0.0000,0.0518,71.64,1.8,0.9838,0.4667,0.0264
95,0.0018,-0.0036,1.0143,4.0725e-04,0.0001,0.0001,0.1,-438.93,3,-15.7274,0.0000,0.0439,45.83,0.2,0.0000,0.2000,0.0000
96,0.0085,-0.0056,1.0222,4.0725e-04,0.0000,0.0001,0.1,373.80,3,5.9108,0.6667,0.0264,227.16,1.4,-2.4110,0.5000,0.0157
97,-0.0475,-0.0077,1.0000,4.0725e-04,0.0001,0.0001,0.1,0.00,0,0.0000,0.0000,0.0000,-138.10,1.0,-0.2295,0.3000,0.0250
98,-0.0092,-0.007,0.9994,4.0725e-04,0.0000,0.0001,0.1,-297.71,1,0.0000,0.0000,0.0298,-367.78,2.0,-30.6699,0.2667,0.0524
99,-0.032,-0.007,0.9610,4.0725e-04,0.0001,0.0001,0.1,-429.43,2,-18.3999,0.0000,0.0429,-94.31,1.2,-9.6850,0.3000,0.0244
100,-0.0736,-0.0094,0.9631,3.8689e-04,0.0000,0.0001,0.1,217.15,1,0.0000,1.0000,0.0000,-513.51,1.6,-4.9045,0.1000,0.0573
101,-0.0142,-0.009,0.9900,3.8689e-04,0.0001,0.0001,0.1,-102.27,2,-4.8769,0.5000,0.0215,74.68,0.8,0.0000,0.4000,0.0115
102,-0.0052,-0.0134,0.9904,3.8689e-04,0.0000,0.0001,0.1,-34.64,2,-1.5225,0.5000,0.0195,57.88,1.6,4.2428,0.3000,0.0391
103,-0.0019,-0.0132,1.0000,3.8689e-04,0.0000,0.0001,0.1,0.00,0,0.0000,0.0000,0.0000,-411.32,1.8,-9.4617,0.2667,0.0509
104,0.0871,-0.0076,1.0809,3.8689e-04,0.0000,0.0001,0.1,852.60,1,0.0000,1.0000,0.0000,301.26,0.8,0.0000,0.6000,0.0076
105,-0.0504,-0.0071,0.9435,3.8689e-04,0.0001,0.0001,0.1,-361.32,3,-40.0898,0.0000,0.0361,506.13,1.2,15.3189,0.5000,0.0077
106,0.1252,0.0008,1.1229,3.8689e-04,0.0001,0.0001,0.1,1374.36,2,17.3191,1.0000,0.0000,-215.84,0.6,0.0000,0.2000,0.0322
107,-0.0402,-0.0052,0.9829,3.8689e-04,0.0001,0.0001,0.1,-49.08,1,0.0000,0.0000,0.0049,-38.81,1.2,-18.2527,0.3000,0.0255
108,-0.0326,-0.0096,0.9832,3.8689e-04,0.0000,0.0001,0.1,-192.22,2,-7.2916,0.5000,0.0305,374.78,1.6,5.1709,0.6333,0.0138
109,0.0046,-0.0012,1.0000,3.8689e-04,0.0000,0.0001,0.1,0.00,0,0.0000,0.0000,0.0000,-51.12,2.4,-2.0004,0.4000,0.0367
110,-0.1085,-0.0017,0.9019,3.8689e-04,0.0000,0.0001,0.1,-914.34,3,-21.7105,0.0000,0.0914,381.97,0.8,2.0776,0.5000,0.0022
111,-0.0468,-0.0028,0.9605,3.8689e-04,0.0001,0.0001,0.1,-298.29,2,-19.4922,0.0000,0.0298,-140.15,0.8,0.4861,0.1000,0.0201
112,0.0031,-0.0006,0.9968,3.8689e-04,0.0000,0.0001,0.1,-314.34,2,-21.8371,0.0000,0.0314,1.46,1.4,-18.2308,0.4000,0.0452
113,-0.0109,-0.0054,0.9884,3.8689e-04,0.0000,0.0001,0.1,125.95,1,0.0000,1.0000,0.0000,-149.55,2.0,-2.4747,0.3333,0.0518
114,0.0397,-0.0037,1.0542,3.8689e-04,0.0000,0.0000,0.1,538.16,2,14.6888,0.5000,0.0021,-261.07,1.8,-2.2230,0.4667,0.0443
115,0.0315,-0.0063,1.0000,3.8689e-04,0.0000,0.0000,0.1,0.00,0,0.0000,0.0000,0.0000,75.58,1.8,1.9616,0.2667,0.0294
116,-0.0998,-0.0084,0.9020,3.8689e-04,0.0001,0.0000,0.1,-1233.77,3,-18.4269,0.3333,0.1234,-205.16,0.8,1.3892,0.1000,0.0306
117,-0.0164,-0.0129,0.9685,3.8689e-04,0.0000,0.0000,0.1,-82.42,4,-1.7488,0.7500,0.0322,-224.30,1.6,-10.1026,0.3000,0.0348
118,-0.1408,-0.0188,0.8465,3.8689e-04,0.0000,0.0000,0.1,-1276.03,1,0.0000,0.0000,0.1276,493.95,1.8,3.3447,0.8000,0.0383
119,0.0402,-0.0155,1.0442,3.8689e-04,0.0001,0.0000,0.1,618.82,2,13.7384,0.5000,0.0045,1.19,1.2,-2.2412,0.3000,0.0392
120,-0.0696,-0.0184,0.9327,3.6755e-04,0.0001,0.0000,0.1,37.38,2,4.1939,0.5000,0.0052,65.37,0.8,1.4369,0.3000,0.0112
121,-0.0563,-0.021,0.9499,3.6755e-04,0.0004,0.0001,0.1,-548.39,2,-8.4059,0.5000,0.0773,-80.95,1.6,-9.3905,0.4667,0.0263
122,0.0497,-0.0171,1.0291,3.6755e-04,0.0001,0.0001,0.1,114.64,1,0.0000,1.0000,0.0000,184.96,1.2,9.7609,0.4000,0.0122
123,0.0362,-0.0153,1.0387,3.6755e-04,0.0001,0.0001,0.1,0.00,0,0.0000,0.0000,0.0000,-462.72,2.2,-3.4875,0.2667,0.0610
124,0.0088,-0.0136,1.0271,3.6755e-04,0.0001,0.0001,0.1,79.28,3,6.9149,0.3333,0.0033,-503.01,1.2,-4.8208,0.0667,0.0606
125,0.1037,-0.0066,1.0989,3.6755e-04,0.0001,0.0001,0.1,0.00,0,0.0000,0.0000,0.0000,126.82,1.6,4.1884,0.4000,0.0119
