episode,reward,avg_reward,cumulative_reward,lr,loss,avg_loss,epsilon,profit_dollars,num_trades,sharpe_ratio,win_rate,max_drawdown,oos_profit_dollars,oos_num_trades,oos_sharpe_ratio,oos_win_rate,oos_max_drawdown
0,0.0443,0.0443,1.0449,1.0000e-03,0.0599,0.0599,1,674.63,1,0.0000,1.0000,0.0000,-329.37,1.6,-7.0512,0.1667,0.0405
1,0.0482,0.0462,1.0061,1.0000e-03,0.0255,0.0427,0.999,0.00,0,0.0000,0.0000,0.0000,-61.68,1.0,3.6661,0.4000,0.0223
2,0.0822,0.0582,1.0840,1.0000e-03,0.0073,0.0309,0.998,748.16,2,45.1821,1.0000,0.0000,-121.63,1.8,1.3892,0.2500,0.0197
3,0.0091,0.046,1.0000,1.0000e-03,0.0069,0.0249,0.997,0.00,0,0.0000,0.0000,0.0000,226.18,1.0,6.3557,0.3000,0.0039
4,-0.0568,0.0254,0.9442,1.0000e-03,0.0017,0.0203,0.996,-517.84,1,0.0000,0.0000,0.0518,72.00,1.4,-50.1439,0.5000,0.0097
5,-0.0794,0.0079,0.9289,1.0000e-03,0.0012,0.0171,0.995,-706.53,1,0.0000,0.0000,0.0707,-206.70,1.4,3.6282,0.4000,0.0404
6,-0.0964,-0.007,0.9077,1.0000e-03,0.0026,0.0150,0.994,-900.07,1,0.0000,0.0000,0.0900,-45.50,1.0,0.0000,0.6000,0.0121
7,0.0312,-0.0022,0.9756,1.0000e-03,0.0003,0.0132,0.993,-195.34,1,0.0000,0.0000,0.0195,-251.06,1.2,-5.0281,0.4000,0.0363
8,0.0775,0.0067,1.0674,1.0000e-03,0.0008,0.0118,0.992,973.38,1,0.0000,1.0000,0.0000,-383.69,1.2,-28.7580,0.1000,0.0385
9,0.015,0.0075,1.0209,1.0000e-03,0.0013,0.0108,0.991,0.00,0,0.0000,0.0000,0.0000,77.03,1.6,-2.1075,0.5000,0.0234
10,0.0198,0.0086,1.0134,1.0000e-03,0.0013,0.0099,0.99,-124.19,1,0.0000,0.0000,0.0124,20.61,1.2,3.7781,0.4000,0.0332
11,0.0535,0.0124,1.0546,1.0000e-03,0.0035,0.0094,0.989,0.00,0,0.0000,0.0000,0.0000,145.87,1.8,7.1759,0.5667,0.0225
12,-0.0425,0.0081,0.9519,1.0000e-03,0.0005,0.0087,0.988,-160.68,1,0.0000,0.0000,0.0161,-196.88,1.4,11.3270,0.4000,0.0465
13,-0.1533,-0.0034,0.8790,1.0000e-03,0.0003,0.0081,0.987,-998.66,2,-16.0280,0.0000,0.0999,60.26,1.8,-1.9235,0.4667,0.0295
14,0.0418,-0.0004,1.0595,1.0000e-03,0.0003,0.0076,0.986,0.00,0,0.0000,0.0000,0.0000,-41.16,1.8,-3.4764,0.4333,0.0358
15,-0.0174,-0.0014,0.9926,1.0000e-03,0.0007,0.0071,0.985,100.15,1,0.0000,1.0000,0.0000,154.85,1.0,-1.8293,0.4667,0.0047
16,0.0891,0.0039,1.0905,1.0000e-03,0.0003,0.0067,0.984,-271.73,1,0.0000,0.0000,0.0272,-149.27,1.4,-9.9481,0.2667,0.0204
17,-0.0652,0.0,0.9300,1.0000e-03,0.0024,0.0065,0.9446,-638.57,1,0.0000,0.0000,0.0639,-57.38,1.2,4.2293,0.3000,0.0109
