episode,reward,profit_dollars,num_trades,sharpe_ratio,win_rate,max_drawdown,loss,avg_loss,epsilon,oos_profit_dollars,oos_num_trades,oos_sharpe_ratio,oos_win_rate,oos_max_drawdown
0,0.002,373.93,5,6.139,0.600,0.015,0.328,0.328,0.999,0.00,0.0,0.000,0.000,0.000
1,0.000,-1243.45,4,-6.726,0.500,0.200,0.448,0.388,0.998,0.00,0.0,0.000,0.000,0.000
2,0.012,260.98,6,5.013,0.667,0.017,0.262,0.346,0.997,0.00,0.0,0.000,0.000,0.000
3,0.025,159.89,4,4.451,0.750,0.013,0.191,0.307,0.996,0.00,0.0,0.000,0.000,0.000
4,-0.150,-895.43,4,-10.706,0.250,0.090,0.108,0.267,0.994,0.00,0.0,0.000,0.000,0.000
5,-0.016,-402.27,6,-3.599,0.333,0.073,0.172,0.251,0.993,0.00,0.0,0.000,0.000,0.000
6,-0.195,-1659.78,4,-25.797,0.000,0.166,0.193,0.243,0.992,0.00,0.0,0.000,0.000,0.000
7,-0.004,-214.41,4,-3.715,0.500,0.038,0.167,0.234,0.991,0.00,0.0,0.000,0.000,0.000
8,-0.070,-1175.94,7,-8.302,0.429,0.141,0.168,0.226,0.990,0.00,0.0,0.000,0.000,0.000
9,0.043,100.32,6,1.455,0.667,0.043,0.127,0.216,0.988,0.00,0.0,0.000,0.000,0.000
10,-0.014,-380.54,6,-11.798,0.333,0.043,0.162,0.211,0.987,0.00,0.0,0.000,0.000,0.000
11,0.003,-127.73,3,-4.106,0.333,0.031,0.164,0.207,0.986,0.00,0.0,0.000,0.000,0.000
12,-0.133,-1446.06,4,-19.931,0.000,0.145,0.161,0.204,0.985,0.00,0.0,0.000,0.000,0.000
13,0.009,-240.34,3,-26.466,0.000,0.024,0.193,0.203,0.984,0.00,0.0,0.000,0.000,0.000
14,-0.074,-372.43,4,-5.109,0.250,0.072,0.245,0.206,0.982,-15.58,0.4,0.000,0.200,0.008
15,-0.044,-323.00,4,-6.549,0.500,0.051,0.141,0.202,0.981,110.80,1.4,-6.243,0.400,0.010
16,-0.044,-314.54,6,-4.231,0.500,0.059,0.128,0.197,0.980,-360.20,0.4,0.000,0.000,0.036
17,0.015,271.84,4,9.732,0.750,0.009,0.196,0.197,0.979,30.81,0.2,0.000,0.200,0.000
18,0.010,-369.42,4,-9.298,0.250,0.043,0.150,0.195,0.978,0.00,0.0,0.000,0.000,0.000
19,0.040,261.26,5,2.751,0.400,0.030,0.163,0.193,0.976,0.00,0.0,0.000,0.000,0.000
20,-0.049,91.17,4,1.744,0.750,0.031,0.176,0.192,0.975,0.00,0.0,0.000,0.000,0.000
21,-0.014,-46.99,5,-0.657,0.400,0.046,0.158,0.191,0.974,0.00,0.0,0.000,0.000,0.000
22,0.118,890.35,5,8.467,0.800,0.025,0.161,0.190,0.973,0.00,0.0,0.000,0.000,0.000
23,0.023,-98.43,4,-1.698,0.500,0.038,0.182,0.189,0.972,0.00,0.0,0.000,0.000,0.000
24,0.048,532.45,6,3.815,0.667,0.067,0.226,0.191,0.970,0.00,0.0,0.000,0.000,0.000
