episode,reward,profit_dollars,num_trades,sharpe_ratio,win_rate,max_drawdown,loss,avg_loss,epsilon,adaptive_epsilon,oos_profit_dollars,oos_num_trades,oos_sharpe_ratio,oos_win_rate,oos_max_drawdown,exploration_balance,hold_pct,buy_pct,sell_pct
0,0.0094,-293.45,8,-2.621,0.375,0.050,0.3465,0.3465,0.975,0.975,124.03,1.3333333333333333,5.388,0.333,0.000,0.747,0.327,0.288,0.385
1,0.0620,340.99,7,3.010,0.429,0.043,0.1542,0.2503,0.951,0.951,634.66,3.6666666666666665,82.923,0.786,0.001,0.830,0.354,0.294,0.352
2,0.1033,316.63,6,3.324,0.500,0.027,0.1114,0.2040,0.928,0.928,-641.44,3.6666666666666665,-1.577,0.389,0.075,0.919,0.349,0.331,0.321
3,-0.0998,-160.53,4,-13.787,0.250,0.016,0.0996,0.1779,0.905,0.905,-395.75,2.3333333333333335,-11.630,0.000,0.040,0.940,0.340,0.320,0.340
4,-0.3407,-1363.84,10,-6.576,0.400,0.156,0.0983,0.1620,0.882,0.882,36.24,0.6666666666666666,5.577,0.333,0.000,0.780,0.319,0.298,0.383
5,-0.0437,-493.42,9,-3.365,0.444,0.061,0.0932,0.1505,0.500,0.500,235.64,1.3333333333333333,17.163,0.667,0.012,0.718,0.297,0.294,0.409
6,0.2529,356.68,6,14.050,0.833,0.003,0.1243,0.1468,0.488,0.488,-696.46,2.3333333333333335,-28.526,0.222,0.079,0.703,0.285,0.310,0.405
7,-0.0485,-147.62,7,-3.162,0.286,0.021,0.1357,0.1454,0.476,0.476,-93.85,1.0,0.000,0.000,0.009,0.689,0.272,0.333,0.395
8,-0.4443,-1248.21,11,-17.150,0.182,0.125,0.1393,0.1447,0.493,0.493,-98.01,1.0,0.000,0.000,0.010,0.665,0.257,0.356,0.387
9,0.0292,-349.74,6,-8.870,0.333,0.046,0.1767,0.1479,0.480,0.480,-61.68,2.6666666666666665,-4.200,0.611,0.050,0.641,0.245,0.382,0.374
10,-0.1171,-758.09,9,-4.149,0.444,0.102,0.1403,0.1472,0.468,0.468,-19.46,1.3333333333333333,-0.190,0.083,0.023,0.678,0.254,0.375,0.371
11,0.3259,309.89,9,1.766,0.556,0.044,0.1517,0.1476,0.457,0.457,-599.19,2.3333333333333335,-83.430,0.111,0.064,0.660,0.252,0.382,0.366
12,0.1494,-481.37,9,-7.123,0.444,0.050,0.1495,0.1477,0.500,0.500,256.38,1.3333333333333333,-60.999,0.667,0.002,0.633,0.246,0.388,0.366
13,0.1866,639.09,11,3.992,0.727,0.060,0.1406,0.1472,0.488,0.488,394.13,1.0,0.000,0.333,0.010,0.609,0.238,0.391,0.372
14,-0.2872,-951.06,11,-10.173,0.182,0.110,0.1411,0.1468,0.476,0.476,867.09,1.0,0.000,1.000,0.000,0.595,0.229,0.385,0.386
15,-0.2259,-1195.69,3,-59.715,0.000,0.120,0.1285,0.1457,0.497,0.497,59.96,0.3333333333333333,0.000,0.333,0.000,0.539,0.222,0.366,0.412
16,0.2113,277.22,2,2.463,0.500,0.075,0.1232,0.1443,0.485,0.485,0.00,0.0,0.000,0.000,0.000,0.509,0.219,0.350,0.431
17,0.0870,-8.27,4,-0.841,0.500,0.006,0.1500,0.1447,0.473,0.473,0.00,0.0,0.000,0.000,0.000,0.486,0.217,0.336,0.447
18,0.2739,600.72,6,7.394,0.833,0.026,0.1252,0.1436,0.500,0.500,0.00,0.0,0.000,0.000,0.000,0.494,0.224,0.322,0.454
19,0.0691,-97.55,2,-47.030,0.000,0.010,0.1353,0.1432,0.488,0.488,0.00,0.0,0.000,0.000,0.000,0.481,0.224,0.309,0.466
20,0.1719,197.28,2,9.798,0.500,0.006,0.1359,0.1429,0.476,0.476,-152.14,0.3333333333333333,0.000,0.000,0.015,0.477,0.227,0.297,0.476
21,-0.1104,-592.40,6,-19.705,0.167,0.059,0.1311,0.1423,0.490,0.490,-765.53,4.666666666666667,-6.524,0.206,0.077,0.500,0.232,0.304,0.464
22,-0.3831,-1141.70,10,-12.357,0.200,0.125,0.1111,0.1410,0.478,0.478,-603.94,3.3333333333333335,-5.216,0.528,0.097,0.508,0.229,0.321,0.450
23,0.2093,484.86,10,4.530,0.500,0.035,0.1082,0.1396,0.466,0.466,395.13,3.0,2.460,0.667,0.040,0.516,0.225,0.340,0.435
24,-0.1861,-302.00,7,-3.824,0.429,0.036,0.1026,0.1381,0.500,0.500,-367.52,4.333333333333333,-5.039,0.206,0.053,0.518,0.224,0.344,0.432
25,0.0288,-334.66,7,-8.316,0.143,0.039,0.1002,0.1283,0.488,0.488,-174.95,2.6666666666666665,-3.668,0.244,0.021,0.521,0.228,0.335,0.437
26,0.0767,288.20,3,5.132,0.333,0.022,0.1192,0.1269,0.476,0.476,6.94,0.3333333333333333,0.000,0.333,0.000,0.495,0.223,0.326,0.451
27,0.3987,1195.97,5,9.044,0.800,0.047,0.1007,0.1264,0.495,0.495,-443.62,0.6666666666666666,-29.659,0.000,0.044,0.476,0.218,0.323,0.459
