episode,reward,profit_dollars,num_trades,sharpe_ratio,win_rate,max_drawdown,loss,avg_loss,epsilon,oos_profit_dollars,oos_num_trades,oos_sharpe_ratio,oos_win_rate,oos_max_drawdown,target_achieved,profit_gap,quality_score
0,-0.1813,-281.33,11,-2.160,0.364,0.072,0.0958,0.0958,0.908,163.79,2,27.449,1.000,0.000,0,781.33,1.6
1,0.2327,189.63,10,0.812,0.500,0.072,0.2227,0.1593,0.500,884.33,1,0.000,1.000,0.000,0,310.37,50.8
2,-0.1859,-146.77,9,-1.234,0.222,0.043,0.3879,0.2355,0.454,511.79,1,0.000,1.000,0.000,0,646.77,8.8
3,-0.0942,-328.01,7,-28.571,0.000,0.033,0.6237,0.3325,0.488,148.33,2,8.024,0.500,0.007,0,828.01,0.0
4,0.1184,25.09,3,2.448,0.667,0.007,0.9020,0.4464,0.443,0.00,0,0.000,0.000,0.000,0,474.91,53.7
5,-0.7000,-1615.70,3,-19.681,0.333,0.163,1.4086,0.6068,0.476,0.00,0,0.000,0.000,0.000,0,2115.70,0.0
6,-0.1821,-576.96,1,0.000,0.000,0.058,1.7305,0.7673,0.433,0.00,1,0.000,0.000,0.000,0,1076.96,0.0
7,-0.2794,-900.00,6,-9.129,0.333,0.105,2.1835,0.9444,0.469,0.00,0,0.000,0.000,0.000,0,1400.00,0.0
8,0.5042,639.33,7,4.707,0.571,0.024,2.5214,1.1196,0.426,0.00,1,0.000,0.000,0.000,1,-139.33,89.3
9,-0.2996,-865.98,6,-8.499,0.500,0.103,2.9997,1.3076,0.464,0.00,0,0.000,0.000,0.000,0,1365.98,0.0
10,-0.2667,-654.70,11,-3.322,0.455,0.106,3.6945,1.5246,0.421,0.00,1,0.000,0.000,0.000,0,1154.70,0.0
11,0.4889,936.32,6,9.888,0.833,0.007,3.6301,1.7000,0.459,0.00,0,0.000,0.000,0.000,1,-436.32,95.8
12,-0.0761,-193.40,4,-7.757,0.250,0.019,3.4500,1.8347,0.417,0.00,0,0.000,0.000,0.000,0,693.40,5.8
13,0.2290,621.54,5,6.448,0.600,0.023,3.9713,1.9873,0.454,0.00,1,0.000,0.000,0.000,1,-121.54,90.0
14,-0.0675,-401.93,4,-6.247,0.250,0.063,4.4744,2.1531,0.413,0.00,0,0.000,0.000,0.000,0,901.93,0.0
15,0.0126,-320.71,5,-6.190,0.600,0.039,4.0678,2.2727,0.450,0.00,0,0.000,0.000,0.000,0,820.71,4.3
16,0.5338,1452.03,5,9.935,0.600,0.023,4.3676,2.3960,0.408,0.00,1,0.000,0.000,0.000,1,-952.03,90.0
17,-0.4145,-1018.45,2,-114.417,0.000,0.102,4.1144,2.4914,0.445,0.00,0,0.000,0.000,0.000,0,1518.45,0.0
18,-0.2900,-1072.38,4,-21.922,0.000,0.107,4.9595,2.6213,0.404,0.00,1,0.000,0.000,0.000,0,1572.38,0.0
19,0.2740,579.40,6,6.305,0.500,0.019,4.8682,2.7337,0.440,0.00,0,0.000,0.000,0.000,1,-79.40,87.5
20,0.1392,-10.16,4,-0.422,0.500,0.014,4.7214,2.8283,0.400,0.00,0,0.000,0.000,0.000,0,510.16,26.7
21,-0.1648,-794.24,3,-11.446,0.333,0.079,5.0666,2.9301,0.436,0.00,1,0.000,0.000,0.000,0,1294.24,0.0
22,0.0795,126.05,6,2.461,0.333,0.018,5.2378,3.0304,0.396,0.00,0,0.000,0.000,0.000,0,373.95,53.4
23,0.2361,357.40,5,6.989,0.400,0.006,5.1499,3.1187,0.431,0.00,0,0.000,0.000,0.000,0,142.60,73.6
24,0.0357,281.16,6,1.497,0.167,0.081,4.6093,3.1784,0.392,0.00,1,0.000,0.000,0.000,0,218.84,56.6
25,0.0052,-373.92,5,-2.640,0.400,0.064,4.9078,3.3708,0.427,0.00,1,0.000,0.000,0.000,0,873.92,0.0
26,-0.4443,-1128.13,4,-9.296,0.250,0.124,4.7995,3.5539,0.388,0.00,0,0.000,0.000,0.000,0,1628.13,0.0
27,0.0634,-341.05,6,-2.561,0.500,0.062,4.5225,3.7193,0.422,0.00,1,0.000,0.000,0.000,0,841.05,0.2
28,-0.0463,-489.29,4,-4.047,0.500,0.095,4.1018,3.8584,0.384,0.00,0,0.000,0.000,0.000,0,989.29,0.0
29,-0.0582,-690.31,4,-24.755,0.000,0.069,3.0018,3.9424,0.418,0.00,1,0.000,0.000,0.000,0,1190.31,0.0
30,0.0231,-241.24,4,-3.267,0.500,0.061,2.3306,3.9793,0.380,615.26,5,7.680,0.800,0.028,0,741.24,8.2
31,-0.0118,-134.29,3,-50.720,0.000,0.013,1.7619,3.9805,0.414,0.00,0,0.000,0.000,0.000,0,634.29,4.3
32,-0.3113,-924.35,2,-21.888,0.000,0.092,2.0461,3.9750,0.376,0.00,0,0.000,0.000,0.000,0,1424.35,0.0
33,0.4879,805.99,6,5.870,0.833,0.053,2.4224,3.9711,0.409,120.04,2,5.374,0.500,0.012,1,-305.99,95.8
34,0.0717,-122.67,5,-7.768,0.400,0.018,2.3350,3.9445,0.372,0.00,0,0.000,0.000,0.000,0,622.67,15.2
35,0.0340,-259.78,6,-3.248,0.333,0.062,1.9618,3.8752,0.405,0.00,1,0.000,0.000,0.000,0,759.78,2.6
36,-0.2286,-689.77,5,-5.997,0.600,0.103,1.6261,3.7950,0.368,0.00,0,0.000,0.000,0.000,0,1189.77,0.0
37,0.1798,-29.39,3,-1.934,0.667,0.012,1.4291,3.7142,0.401,0.00,1,0.000,0.000,0.000,0,529.39,29.3
38,-0.0561,-628.70,8,-5.278,0.500,0.103,1.2279,3.6045,0.364,0.00,0,0.000,0.000,0.000,0,1128.70,0.0
39,0.2402,367.46,4,5.625,0.750,0.031,0.8420,3.4592,0.397,0.00,0,0.000,0.000,0.000,0,132.54,83.1
40,-0.2249,-813.26,8,-6.447,0.375,0.081,0.5394,3.3180,0.360,427.67,7,3.394,0.571,0.057,0,1313.26,0.0
41,0.1100,51.36,4,1.705,0.750,0.018,0.3170,3.1560,0.393,0.00,1,0.000,0.000,0.000,0,448.64,54.9
42,0.2950,678.29,2,31.015,1.000,0.000,0.1328,2.9967,0.356,0.00,0,0.000,0.000,0.000,1,-178.29,100.0
43,0.1216,-21.88,6,-0.427,0.500,0.035,0.0738,2.8013,0.388,0.00,1,0.000,0.000,0.000,0,521.88,25.7
44,-0.1079,-614.09,6,-7.844,0.500,0.066,0.0547,2.6088,0.353,0.00,1,0.000,0.000,0.000,0,1114.09,0.0
45,0.0768,-194.36,6,-2.175,0.500,0.068,0.0588,2.4223,0.384,0.00,0,0.000,0.000,0.000,0,694.36,12.0
46,0.0818,161.33,4,5.069,0.500,0.016,0.0555,2.2218,0.349,0.00,0,0.000,0.000,0.000,0,338.67,60.4
47,0.4852,1305.57,7,7.538,0.571,0.041,0.0334,2.0136,0.380,0.00,1,0.000,0.000,0.000,1,-805.57,89.3
48,-0.8183,-1731.10,9,-13.133,0.333,0.173,0.0351,1.8091,0.345,0.00,1,0.000,0.000,0.000,0,2231.10,0.0
49,0.0095,-58.54,10,-0.303,0.500,0.099,0.0393,1.6263,0.376,510.24,9,3.998,0.556,0.035,0,558.54,22.8
