episode,reward,profit_dollars,num_trades,sharpe_ratio,win_rate,max_drawdown,loss,avg_loss,epsilon,oos_profit_dollars,oos_num_trades,oos_sharpe_ratio,oos_win_rate,oos_max_drawdown,target_achieved,profit_gap,stability_score,consecutive_good
0,0.5363,924.15,15,9.395,0.733,0.023,0.2517,0.2517,0.990,-51.24,2,-1.854,0.500,0.024,1,-124.15,0.000,1
1,-0.2998,-687.86,15,-3.163,0.467,0.075,0.2177,0.2347,0.980,199.86,2,2.852,0.500,0.046,0,1487.86,0.000,0
2,-0.0395,-392.18,13,-2.757,0.385,0.066,0.1792,0.2162,0.968,0.00,1,0.000,0.000,0.000,0,1192.18,0.584,0
3,0.6985,1639.85,11,14.797,0.727,0.003,0.1724,0.2053,0.959,-982.87,3,-9.183,0.333,0.113,1,-839.85,0.499,1
4,0.2705,846.66,13,3.300,0.462,0.035,0.2050,0.2052,0.949,-483.07,1,0.000,0.000,0.048,1,-46.66,0.480,2
5,-0.3178,-1091.03,12,-4.364,0.417,0.128,0.1855,0.2019,0.938,1216.21,2,14.566,0.500,0.005,0,1891.03,0.722,0
6,-0.3321,-5.78,12,-0.012,0.500,0.180,0.2299,0.2059,0.500,0.00,1,0.000,0.000,0.000,0,805.78,0.635,0
7,-0.0029,-186.14,13,-2.845,0.462,0.033,0.2016,0.2054,0.495,1007.57,2,10.939,0.500,0.020,0,986.14,0.749,0
8,-0.2152,-755.81,11,-13.997,0.182,0.086,0.2353,0.2087,0.496,1627.32,4,12.248,0.750,0.020,0,1555.81,0.777,0
9,-0.0133,-417.37,13,-4.516,0.308,0.054,0.2654,0.2144,0.498,-395.36,6,-3.892,0.667,0.074,0,1217.37,0.759,0
10,-0.2049,-511.41,17,-14.662,0.059,0.051,0.3304,0.2249,0.493,525.84,3,11.813,0.667,0.002,0,1311.41,0.799,0
11,-0.1920,-552.94,12,-6.322,0.333,0.072,0.3135,0.2323,0.487,-1059.55,3,-24.139,0.000,0.106,0,1352.94,0.604,0
12,-0.9203,-2407.25,9,-12.939,0.222,0.241,0.3590,0.2421,0.497,-196.69,9,-0.796,0.556,0.102,0,3207.25,0.560,0
13,0.1150,789.67,17,4.385,0.471,0.033,0.4115,0.2542,0.499,-851.60,7,-5.000,0.429,0.121,0,10.33,0.560,0
14,-0.2832,-900.72,12,-5.321,0.333,0.115,0.3663,0.2616,0.500,1099.85,5,8.846,0.600,0.040,0,1700.72,0.600,0
15,0.0838,-72.41,17,-0.483,0.529,0.031,0.4452,0.2731,0.495,-253.84,2,-18.239,0.000,0.025,0,872.41,0.560,0
16,0.2305,703.87,16,3.187,0.688,0.056,0.5194,0.2876,0.497,12.65,2,4.355,0.500,0.002,0,96.13,0.600,0
17,0.1237,34.80,12,0.527,0.500,0.025,0.4630,0.2974,0.491,0.00,1,0.000,0.000,0.000,0,765.20,0.559,0
18,0.6209,2406.84,6,12.933,0.667,0.029,0.5876,0.3126,0.486,-550.60,5,-7.069,0.200,0.056,1,-1606.84,0.545,1
19,-0.1374,-388.04,12,-1.943,0.667,0.127,0.5895,0.3265,0.481,435.84,2,7.984,0.500,0.020,0,1188.04,0.620,0
20,-0.7120,-1724.49,15,-7.392,0.400,0.192,0.6482,0.3463,0.496,-530.90,6,-6.126,0.500,0.071,0,2524.49,0.612,0
21,0.1315,-103.82,15,-0.508,0.400,0.084,0.7819,0.3745,0.498,-558.40,1,0.000,0.000,0.056,0,903.82,0.520,0
22,0.1422,-546.63,11,-4.721,0.636,0.069,0.8315,0.4071,0.500,37.78,1,0.000,1.000,0.000,0,1346.63,0.559,0
23,-0.1351,-205.36,19,-1.190,0.526,0.054,0.8403,0.4405,0.494,1124.91,6,6.205,0.500,0.031,0,1005.36,0.599,0
24,0.1580,372.15,14,2.195,0.500,0.047,0.8844,0.4745,0.489,995.11,8,4.598,0.375,0.031,0,427.85,0.799,0
25,-0.0938,-235.27,15,-1.577,0.333,0.051,1.1561,0.5230,0.484,-22.23,1,0.000,0.000,0.002,0,1035.27,0.767,0
26,0.4698,853.18,16,5.112,0.750,0.041,1.1301,0.5680,0.498,0.00,0,0.000,0.000,0.000,1,-53.18,0.706,1
27,-0.3622,-648.60,20,-3.909,0.350,0.078,1.4106,0.6285,0.500,-16.73,1,0.000,0.000,0.002,0,1448.60,0.681,0
28,-0.4335,-671.24,14,-3.327,0.357,0.109,1.4389,0.6887,0.495,-592.13,5,-6.572,0.600,0.059,0,1471.24,0.559,0
29,0.4798,1458.81,12,3.507,0.583,0.076,1.7508,0.7629,0.496,-629.52,7,-6.323,0.429,0.073,1,-658.81,0.519,1
30,-0.0080,-588.98,12,-5.736,0.333,0.080,1.7368,0.8332,0.498,18.27,11,0.051,0.273,0.161,0,1388.98,0.559,0
31,0.0813,-378.63,10,-3.855,0.600,0.053,1.7994,0.9075,0.500,1604.76,2,25.837,1.000,0.000,0,1178.63,0.599,0
32,-0.4487,-1258.33,11,-6.653,0.455,0.132,1.8987,0.9845,0.494,-1134.39,4,-19.980,0.000,0.113,0,2058.33,0.559,0
33,0.3944,773.33,6,7.263,0.833,0.036,1.9837,1.0631,0.496,-810.34,3,-14.991,0.000,0.081,0,26.67,0.519,0
34,0.4338,698.04,10,4.650,0.600,0.044,2.0781,1.1487,0.491,878.27,7,4.050,0.429,0.059,0,101.96,0.569,0
35,-0.3341,-1035.00,8,-3.525,0.375,0.174,2.1315,1.2330,0.499,-633.16,5,-9.174,0.400,0.068,0,1835.00,0.519,0
36,0.1951,-199.31,11,-1.387,0.636,0.061,2.4077,1.3275,0.494,385.71,7,1.784,0.286,0.095,0,999.31,0.628,0
37,0.6971,1779.49,13,6.113,0.692,0.057,2.4406,1.4263,0.496,-766.15,6,-9.390,0.500,0.092,1,-979.49,0.565,1
38,-0.0618,-179.08,14,-0.654,0.500,0.115,2.7039,1.5321,0.490,-707.29,8,-6.190,0.375,0.096,0,979.08,0.560,0
39,-0.0538,392.76,7,1.505,0.571,0.133,2.6211,1.6337,0.499,-269.39,6,-4.303,0.500,0.042,0,407.24,0.560,0
40,0.2537,224.10,12,0.824,0.500,0.085,3.0052,1.7516,0.494,48.26,8,0.546,0.250,0.036,0,575.90,0.560,0
41,0.3404,545.31,8,5.411,0.750,0.031,3.2162,1.8733,0.495,-326.03,2,-18.382,0.000,0.033,0,254.69,0.594,0
42,0.1427,278.50,8,4.513,0.375,0.015,3.3824,2.0008,0.497,0.00,0,0.000,0.000,0.000,0,521.50,0.524,0
43,0.1041,-436.51,9,-3.890,0.667,0.079,3.3635,2.1270,0.499,0.00,0,0.000,0.000,0.000,0,1236.51,0.520,0
44,0.4328,1334.36,7,8.461,0.857,0.055,3.5386,2.2597,0.493,0.00,0,0.000,0.000,0.000,1,-534.36,0.580,1
45,0.2872,744.45,11,10.579,0.727,0.006,3.9042,2.3971,0.488,-229.82,18,-1.636,0.611,0.060,0,55.55,0.525,0
46,-0.0090,-177.08,10,-0.461,0.400,0.146,4.0940,2.5453,0.483,-116.94,6,-1.429,0.667,0.050,0,977.08,0.569,0
47,0.4697,878.75,11,2.455,0.636,0.100,4.4636,2.6980,0.498,-72.57,3,-0.938,0.667,0.054,1,-78.75,0.517,1
48,0.0033,-213.42,8,-0.681,0.625,0.148,4.3634,2.8442,0.500,224.76,3,2.156,0.667,0.054,0,1013.42,0.527,0
49,-0.3022,-1085.76,5,-10.457,0.400,0.116,4.7481,2.9940,0.495,-7.65,4,-0.084,0.750,0.054,0,1885.76,0.509,0
50,0.5869,1082.23,10,5.572,0.800,0.017,4.9827,3.1563,0.489,462.07,1,0.000,1.000,0.000,1,-282.23,0.577,1
51,0.1520,268.91,4,3.924,0.500,0.034,5.3761,3.3352,0.499,1295.36,1,0.000,1.000,0.000,0,531.09,0.716,0
52,-0.1045,-517.99,7,-11.164,0.286,0.061,5.5234,3.5164,0.494,-774.52,3,-17.953,0.000,0.077,0,1317.99,0.594,0
53,-0.5787,-1978.36,11,-9.716,0.273,0.226,5.8826,3.7113,0.495,435.84,2,7.984,0.500,0.020,0,2778.36,0.663,0
54,-0.3319,-489.19,3,-6.536,0.333,0.061,5.6253,3.8887,0.490,0.00,1,0.000,0.000,0.000,0,1289.19,0.633,0
55,-0.2467,-1208.35,8,-7.273,0.500,0.130,5.5740,4.0608,0.485,149.21,2,30.671,1.000,0.000,0,2008.35,0.630,0
56,-0.5075,-1387.06,8,-18.676,0.000,0.139,5.4617,4.2135,0.496,0.00,1,0.000,0.000,0.000,0,2187.06,0.599,0
57,0.2087,660.31,3,17.091,0.667,0.006,6.1039,4.3967,0.498,0.00,1,0.000,0.000,0.000,0,139.69,0.599,0
58,-0.3115,-1095.69,5,-7.006,0.400,0.137,6.0264,4.5628,0.500,0.00,1,0.000,0.000,0.000,0,1895.69,0.559,0
59,-0.8278,-2581.73,4,-17.453,0.250,0.267,6.0422,4.7339,0.494,0.00,1,0.000,0.000,0.000,0,3381.73,0.559,0
60,-0.5756,-1353.58,6,-6.003,0.333,0.196,6.3860,4.9029,0.489,0.00,1,0.000,0.000,0.000,0,2153.58,0.519,0
61,0.4800,1336.76,8,4.122,0.500,0.085,6.7558,5.0799,0.484,0.00,1,0.000,0.000,0.000,1,-536.76,0.521,1
62,0.0553,405.76,5,3.951,0.400,0.042,6.6686,5.2442,0.495,0.00,1,0.000,0.000,0.000,0,394.24,0.479,0
63,0.5783,2266.21,8,9.246,0.750,0.030,6.6047,5.4063,0.497,0.00,1,0.000,0.000,0.000,1,-1466.21,0.439,1
64,0.0986,122.40,7,3.654,0.286,0.010,6.6889,5.5638,0.492,0.00,1,0.000,0.000,0.000,0,677.60,0.439,0
65,0.3395,592.58,8,7.594,0.625,0.007,7.2459,5.7309,0.500,0.00,1,0.000,0.000,0.000,0,207.42,0.400,0
66,0.4319,866.48,7,4.111,0.429,0.058,7.1735,5.8848,0.495,0.00,1,0.000,0.000,0.000,1,-66.48,0.400,1
67,0.3713,455.35,7,3.107,0.571,0.068,7.7093,6.0471,0.497,0.00,1,0.000,0.000,0.000,0,344.65,0.400,0
68,-0.6572,-1606.59,5,-13.858,0.200,0.161,6.8099,6.1694,0.491,0.00,1,0.000,0.000,0.000,0,2406.59,0.400,0
69,-0.7525,-2279.35,9,-12.793,0.222,0.231,8.4096,6.3525,0.486,0.00,1,0.000,0.000,0.000,0,3079.35,0.400,0
70,0.1215,103.83,6,0.820,0.500,0.077,8.2982,6.5183,0.497,0.00,1,0.000,0.000,0.000,0,696.17,0.400,0
71,0.7202,2311.42,8,10.167,0.625,0.007,9.3103,6.7150,0.498,0.00,1,0.000,0.000,0.000,1,-1511.42,0.400,1
72,0.1144,-120.85,8,-0.695,0.375,0.089,8.3686,6.8573,0.493,0.00,1,0.000,0.000,0.000,0,920.85,0.400,0
73,0.2106,256.08,9,1.511,0.556,0.088,9.0216,7.0142,0.498,0.00,1,0.000,0.000,0.000,0,543.92,0.400,0
74,0.2730,222.22,14,1.388,0.571,0.028,8.9570,7.1808,0.499,0.00,1,0.000,0.000,0.000,0,577.78,0.400,0
75,-0.1957,-112.06,8,-0.440,0.375,0.121,9.2357,7.3639,0.494,0.00,1,0.000,0.000,0.000,0,912.06,0.400,0
