episode,train_profit,oos_profit,train_trades,oos_trades,train_win_rate,oos_win_rate,train_sharpe,oos_sharpe,loss,epsilon
0,-220.31,0.00,20,0,0.300,0.000,-0.499,0.000,7.488845,0.485
1,-878.07,0.00,13,0,0.308,0.000,-5.776,0.000,40.780410,0.476
2,1178.68,0.00,15,1,0.600,0.000,5.087,0.000,6.760454,0.466
3,2014.15,0.00,11,0,0.636,0.000,5.124,0.000,28.644623,0.458
4,-451.86,0.00,13,0,0.385,0.000,-2.322,0.000,17.449114,0.449
5,-2011.23,0.00,19,1,0.368,0.000,-7.164,0.000,0.944257,0.441
6,3018.33,0.00,17,0,0.824,0.000,11.271,0.000,0.206322,0.433
7,-2307.11,0.00,16,1,0.125,0.000,-8.699,0.000,0.018560,0.422
8,2113.93,0.00,15,0,0.667,0.000,6.797,0.000,0.007321,0.497
9,-441.36,0.00,11,0,0.364,0.000,-2.886,0.000,0.003686,0.488
10,-419.76,0.00,9,1,0.222,0.000,-8.487,0.000,0.002707,0.399
11,-479.72,1526.67,13,1,0.462,1.000,-1.897,0.000,0.002783,0.470
12,-1191.37,985.56,9,2,0.444,1.000,-7.026,1323.966,0.002003,0.462
13,2229.34,0.00,8,0,0.750,0.000,9.848,0.000,0.001410,0.454
14,37.22,0.00,11,0,0.636,0.000,0.312,0.000,0.001321,0.446
15,1463.10,0.00,12,1,0.667,0.000,9.974,0.000,0.001209,0.437
16,-366.20,0.00,13,0,0.538,0.000,-3.387,0.000,0.001115,0.430
17,-277.27,0.00,12,0,0.333,0.000,-1.161,0.000,0.001016,0.422
18,559.26,0.00,10,0,0.500,0.000,2.819,0.000,0.001065,0.414
19,-36.09,0.00,12,1,0.417,0.000,-0.139,0.000,0.000883,0.488
20,-519.35,0.00,15,1,0.533,0.000,-1.838,0.000,0.000887,0.473
21,779.67,0.00,11,1,0.636,0.000,6.756,0.000,0.000821,0.461
22,1285.95,0.00,12,1,0.667,0.000,7.881,0.000,0.000785,0.453
23,774.28,0.00,14,0,0.643,0.000,4.436,0.000,0.000746,0.445
24,-831.37,0.00,10,1,0.400,0.000,-6.546,0.000,0.000694,0.437
25,-399.20,1018.92,9,5,0.333,0.600,-5.888,11.044,0.000684,0.429
26,581.72,0.00,9,0,0.444,0.000,3.920,0.000,0.000626,0.421
27,-880.96,0.00,9,1,0.444,0.000,-2.576,0.000,0.000593,0.414
28,-1444.79,0.00,11,0,0.364,0.000,-6.282,0.000,0.000496,0.406
29,-1796.62,0.00,10,1,0.400,0.000,-5.849,0.000,0.000526,0.399
30,580.47,0.00,11,0,0.727,0.000,5.711,0.000,0.000512,0.392
31,-291.39,0.00,6,1,0.333,0.000,-5.003,0.000,0.000502,0.385
32,-1905.03,0.00,6,1,0.333,0.000,-19.876,0.000,0.000456,0.378
33,80.56,0.00,8,0,0.500,0.000,0.225,0.000,0.000471,0.445
34,-2366.58,0.00,13,0,0.385,0.000,-7.368,0.000,0.000483,0.437
35,305.14,833.07,10,3,0.500,0.667,2.080,13.623,0.000493,0.429
36,-666.96,0.00,10,0,0.500,0.000,-2.720,0.000,0.000481,0.422
37,195.09,0.00,14,0,0.500,0.000,0.769,0.000,0.000463,0.414
38,343.05,0.00,9,1,0.444,0.000,2.024,0.000,0.000450,0.407
39,-950.03,0.00,11,0,0.364,0.000,-8.247,0.000,0.000439,0.399
40,358.77,0.00,9,0,0.667,0.000,2.132,0.000,0.000418,0.392
41,-1461.63,0.00,6,1,0.167,0.000,-9.811,0.000,0.000418,0.462
42,-1294.89,0.00,10,1,0.400,0.000,-6.619,0.000,0.000434,0.378
43,1051.02,0.00,11,1,0.455,0.000,4.484,0.000,0.000572,0.371
44,-467.55,0.00,13,1,0.308,0.000,-2.643,0.000,0.000436,0.365
45,884.21,0.00,16,1,0.500,0.000,2.693,0.000,0.000528,0.358
46,-888.06,0.00,11,1,0.455,0.000,-4.783,0.000,0.000413,0.352
47,660.52,0.00,12,0,0.500,0.000,2.631,0.000,0.000424,0.345
48,-29.73,0.00,7,1,0.429,0.000,-0.381,0.000,0.000451,0.339
49,1823.64,0.00,9,1,0.778,0.000,10.199,0.000,0.000484,0.333
50,-133.56,0.00,10,1,0.300,0.000,-0.696,0.000,0.000401,0.392
51,-602.02,0.00,8,0,0.375,0.000,-4.838,0.000,0.000357,0.385
52,-488.07,0.00,10,1,0.600,0.000,-1.429,0.000,0.000356,0.378
